State,abb,Place,Population
Alabama,AL,Birmingham,212113
Alaska,AK,Anchorage,300950
Arizona,AZ,Phoenix,1513367
Arkansas,AR,Little Rock,197357
California,CA,Los Angeles,3884307
Colorado,CO,Denver,649495
Connecticut,CT,Bridgeport,147216
Delaware,DE,Wilmington,71525
District of Columbia,DC,Washington,646449
Florida,FL,Jacksonville,842583
Georgia,GA,Atlanta,447841
Hawaii,HI,Honolulu,347884
Idaho,ID,Boise,214237
Illinois,IL,Chicago,2718782
Indiana,IN,Indianapolis,843393
Iowa,IA,Des Moines,207510
Kansas,KS,Wichita,386552
Kentucky,KY,Louisville/Jefferson County,609893
Louisiana,LA,New Orleans,378715
Maine,ME,Portland,66318
Maryland,MD,Baltimore,622104
Massachusetts,MA,Boston,645966
Michigan,MI,Detroit,688701
Minnesota,MN,Minneapolis,400070
Mississippi,MS,Jackson,172638
Missouri,MO,Kansas City,467007
Montana,MT,Billings,109059
Nebraska,NE,Omaha,434353
Nevada,NV,Las Vegas,603488
New Hampshire,NH,Manchester,110378
New Jersey,NJ,Newark,278427
New Mexico,NM,Albuquerque,556495
New York,NY,New York,8405837
North Carolina,NC,Charlotte,792862
North Dakota,ND,Fargo,113658
Ohio,OH,Columbus,822553
Oklahoma,OK,Oklahoma City,610613
Oregon,OR,Portland,609456
Pennsylvania,PA,Philadelphia,1553165
Rhode Island,RI,Providence,177994
South Carolina,SC,Columbia,133358
South Dakota,SD,Sioux Falls,164676
Tennessee,TN,Memphis,653450
Texas,TX,Houston,2195914
Utah,UT,Salt Lake City,191180
Vermont,VT,Burlington,42284
Virginia,VA,Virginia Beach,448479
Washington,WA,Seattle,652405
West Virginia,WV,Charleston,50821
Wisconsin,WI,Milwaukee,599164
Wyoming,WY,Cheyenne,62448
